filename	churn	size	minor	major	total	ownership	defects
src/test/compile-fail/feature-gate-allow-internal-unstable-struct.rs	17	17	0	1	1	1.0	0
src/test/run-pass/issue-16819.rs	4	20	0	2	2	0.5	0
src/test/run-pass/thread-local-extern-static.rs	26	26	0	1	1	1.0	0
src/bootstrap/native.rs	2791	181	6	5	11	0.39285714285714285	10
src/test/compile-fail/builtin-superkinds-simple.rs	10	19	0	4	4	0.4	0
src/vendor/libc/ci/docker/x86_64-unknown-freebsd/Dockerfile	13	13	0	1	1	1.0	0
src/test/run-pass/byte-literals.rs	8	75	0	4	4	0.25	0
src/test/compile-fail/ufcs-qpath-self-mismatch.rs	10	20	0	4	4	0.4	0
src/test/compile-fail/issue-18819.rs	62	30	0	9	9	0.26666666666666666	0
src/test/debuginfo/cross-crate-spans.rs	24	76	0	4	4	0.25	0
src/vendor/toml/tests/invalid/key-start-bracket.toml	3	3	0	1	1	1.0	0
src/test/run-pass-fulldeps/auxiliary/llvm_pass_plugin.rs	0	29	0	1	1	1.0	0
src/test/run-pass/issue24687-embed-debuginfo/auxiliary/issue24687_lib.rs	0	19	0	1	1	1.0	0
src/test/compile-fail/E0425.rs	18	18	0	1	1	1.0	0
src/vendor/libc/src/unix/bsd/mod.rs	368	368	0	1	1	1.0	0
src/test/compile-fail/issue-23544.rs	3	20	0	3	3	0.3333333333333333	0
src/test/run-pass/issue-19982.rs	4	32	0	2	2	0.5	0
src/test/debuginfo/generic-struct.rs	48	69	0	4	4	0.25	0
src/test/compile-fail/issue-32201.rs	22	22	0	1	1	1.0	0
src/test/run-pass-fulldeps/auxiliary/plugin_crate_outlive_expansion_phase.rs	0	35	0	1	1	1.0	0
src/libstd/os/netbsd/raw.rs	110	82	0	5	5	0.4444444444444444	0
src/test/run-pass/auxiliary/issue-17662.rs	0	22	0	1	1	1.0	0
src/test/compile-fail/unsized7.rs	10	26	0	4	4	0.4	0
src/test/run-make/issue-30063/Makefile	35	35	0	1	1	1.0	0
src/test/run-pass/specialization/specialization-overlap-projection.rs	33	33	0	1	1	1.0	0
src/test/run-pass/specialization/specialization-assoc-fns.rs	37	37	0	1	1	1.0	0
src/test/ui/span/issue-29106.stderr	22	21	0	1	1	1.0	0
src/test/incremental/spans_significant_w_debuginfo.rs	28	26	0	4	4	0.25	0
src/test/compile-fail/variadic-ffi-2.rs	6	16	0	3	3	0.3333333333333333	0
src/test/run-pass-fulldeps/quote-tokens.rs	36	53	0	7	7	0.3	0
src/test/compile-fail/attr-literals.rs	33	33	0	1	1	1.0	0
tests/compile-fail/stack_limit.rs	28	20	0	2	2	0.6666666666666666	0
src/test/incremental/inlined_hir_34991/main.rs	33	33	0	1	1	1.0	0
src/test/run-pass/xcrate_generic_fn_nested_return.rs	17	17	0	1	1	1.0	0
src/test/ui/span/E0493.rs	10	30	0	1	1	1.0	0
src/test/parse-fail/generic-non-trailing-defaults.rs	6	19	0	3	3	0.3333333333333333	0
src/test/run-pass/mir_trans_switchint.rs	6	21	0	2	2	0.5	0
src/test/rustdoc/rustc-macro-crate.rs	24	24	0	1	1	1.0	0
tests/run-pass/negative_discriminant.rs	13	13	0	1	1	1.0	0
src/test/run-make/tools.mk	50	125	0	7	7	0.4	0
src/libcore/num/u16.rs	10	17	0	4	4	0.4	0
src/test/compile-fail/if-without-else-result.rs	27	18	0	5	5	0.3333333333333333	0
src/test/run-make/link-cfg/Makefile	22	22	0	1	1	1.0	0
src/test/run-pass/test-vs-cfg-test.rs	18	18	0	1	1	1.0	0
src/vendor/toml/tests/valid/array-nospaces.toml	1	1	0	1	1	1.0	0
src/librustc_mir/build/expr/mod.rs	6	80	0	2	2	0.6666666666666666	0
src/test/run-pass-fulldeps/qquote.rs	74	104	5	4	9	0.3181818181818182	0
src/libcore/str/pattern.rs	62	1211	0	6	6	0.4444444444444444	0
