filename	minor	major	total	ownership
src/test/rustdoc/aux/issue-27362.rs	0	1	1	1.0
src/rt/arch/mips/ccall.S	3	2	5	0.875
src/libstd/unsafe.rs	0	1	1	1.0
src/comp/middle/walk.rs	6	7	13	0.2054794520547945
src/test/run-pass/spawn-types.rs	24	4	28	0.4766536964980545
src/test/compile-fail/static-recursion-gate-2.rs	5	1	6	0.8478260869565217
src/test/compile-fail/issue-3668.rs	16	3	19	0.628
src/test/compile-fail/issue-14303-impl.rs	4	3	7	0.5645161290322581
src/test/run-pass/newlambdas-ret-infer.rs	8	4	12	0.4205607476635514
src/test/compile-fail/issue-4542.rs	4	1	5	0.9069767441860465
src/test/ui/span/loan-extend.stderr	2	4	6	0.5952380952380952
src/test/compile-fail/extfmt-too-many-args.rs	8	2	10	0.6078431372549019
src/librustc_borrowck/borrowck/check_loans.rs	34	4	38	0.4927899686520376
src/doc/nomicon/dropck.md	4	3	7	0.7142857142857143
src/librustc_mir/build/block.rs	10	4	14	0.5191489361702127
src/test/compile-fail/match-tag-unary.rs	3	3	6	0.5
src/test/run-pass/issue-19129-2.rs	7	3	10	0.5725190839694656
src/test/compile-fail/variant-size-differences.rs	3	3	6	0.6842105263157895
src/libserialize/json_old.rs	0	3	3	0.8181818181818182
src/rustdoc/text_pass.rs	6	6	12	0.2807017543859649
src/test/run-pass/structured-compare.rs	18	4	22	0.391156462585034
src/test/run-pass/expr-match-generic-unique2.rs	9	3	12	0.526813880126183
src/test/compile-fail/attr-before-view-item.rs	0	2	2	0.6
src/test/rustdoc/inline_cross/aux/rustdoc-nonreachable-impls.rs	0	1	1	1.0
src/test/run-pass/union/union-const-trans.rs	2	3	5	0.5348837209302325
src/test/run-pass/union/union-inherent-method.rs	2	3	5	0.5348837209302325
doc/guide-runtime.md	4	1	5	0.8979591836734694
mk/cfg/arm-linux-androideabi.mk	4	4	8	0.647887323943662
src/libsyntax/ext/deriving/generic.rs	32	1	33	0.8272532188841202
src/test/run-pass/issue-16151.rs	6	3	9	0.36904761904761907
src/test/run-make/dep-info-no-analysis/Makefile	2	4	6	0.5257731958762887
src/test/incremental/spike-neg2.rs	3	5	8	0.45454545454545453
src/test/compile-fail/borrowck-addr-of-upvar.rs	3	3	6	0.7681159420289855
src/test/run-pass/pipe-pingpong-bounded.rs	16	4	20	0.5729166666666666
src/librustc_trans/assert_dep_graph.rs	3	3	6	0.4722222222222222
src/test/compile-fail/lifetime-underscore.rs	5	4	9	0.6526315789473685
src/test/run-pass/issue-22992.rs	5	4	9	0.5333333333333333
src/test/compile-fail/fail-simple.rs	11	3	14	0.5952380952380952
src/librustc/middle/weak_lang_items.rs	24	4	28	0.49325842696629213
src/doc/trpl/ffi.md	16	4	20	0.4155455904334828
src/test/compile-fail/binop-logic-float.rs	8	4	12	0.37254901960784315
src/test/run-pass/env-home-dir.rs	8	5	13	0.3233333333333333
src/rt/libuv/.gitignore	0	4	4	0.5714285714285714
src/test/run-pass/anon-obj-no-inner-obj.rs	0	3	3	0.5714285714285714
src/test/run-pass/issue-2989.rs	23	3	26	0.5933014354066986
src/libstd/sys/unix/backtrace/tracing/gcc_s.rs	5	4	9	0.5567567567567567
doc/po/tutorial-borrowed-ptr.md.pot	5	1	6	0.9047619047619048
src/test/run-pass/associated-types-where-clause-impl-ambiguity.rs	14	3	17	0.4808743169398907
src/rt/libuv/src/ares/config_linux/ares_config.h	0	4	4	0.5
src/test/run-make/rustdoc-default-impl/Makefile	0	3	3	0.49295774647887325
