filename	minor	major	total	ownership
src/test/run-pass/do-for-empty-args.rs	5	2	7	0.78
src/test/run-pass/default-method-simple.rs	13	4	17	0.5132743362831859
doc/tutorial/iface.md	0	1	1	1.0
src/test/auxiliary/rustdoc-extern-method.rs	4	3	7	0.37681159420289856
src/test/compile-fail/removed-syntax-larrow-init.rs	6	4	10	0.504950495049505
src/test/compile-fail/where-for-self.rs	2	3	5	0.5454545454545454
src/test/compile-fail/traits-inductive-overflow-auto-normal-auto.rs	5	4	9	0.4421052631578947
src/librustc_trans/trans/llrepr.rs	7	5	12	0.42857142857142855
src/test/bench/spawnone.rs	4	3	7	0.44761904761904764
src/test/run-pass/namespaced-enum-glob-import-xcrate.rs	8	3	11	0.5223880597014925
src/librustc_bitflags/Cargo.toml	2	4	6	0.5342465753424658
src/test/run-make/symbols-are-reasonable/Makefile	9	4	13	0.5161290322580645
src/test/run-pass/issue-18655.rs	3	2	5	0.7241379310344828
src/libcore/unstable.rs	9	3	12	0.7730061349693251
src/test/run-pass/issue-7012.rs	6	3	9	0.6242038216560509
src/test/run-pass/dropck-eyepatch-reorder.rs	4	3	7	0.44680851063829785
src/test/compile-fail/kindck-owned-trait-scoped.rs	15	3	18	0.7085714285714285
src/test/compile-fail/auxiliary/empty-struct.rs	2	5	7	0.3484848484848485
src/librustc/traits/project.rs	13	6	19	0.3880597014925373
src/test/run-pass/issue-16452.rs	5	3	8	0.39215686274509803
src/test/run-pass/issue-16602-2.rs	3	3	6	0.64
src/librustc_mir/build/expr/into.rs	18	4	22	0.5683060109289617
src/test/incremental/span_hash_stable/auxiliary/sub1.rs	3	3	6	0.7714285714285715
src/test/run-pass/associated-types-in-impl-generics.rs	5	3	8	0.41605839416058393
src/test/run-pass/aux/issue_12612_1.rs	0	1	1	1.0
src/test/compile-fail/issue-21177.rs	4	2	6	0.6153846153846154
src/test/run-pass/mod_dir_recursive.rs	12	3	15	0.4533333333333333
src/tools/compiletest/Cargo.toml	6	4	10	0.6666666666666666
src/test/compile-fail/bind-by-move-neither-can-live-while-the-other-survives-1.rs	11	2	13	0.7326732673267327
src/test/run-pass/issue-17897.rs	9	3	12	0.43
src/librustc_llvm/archive_ro.rs	10	3	13	0.37083333333333335
src/libcore/path2.rs	0	5	5	0.5
src/rt/rust_sched_launcher.h	8	3	11	0.3404255319148936
src/doc/not_found.md	10	3	13	0.5017182130584192
src/test/ui/codemap_tests/tab.stderr	5	5	10	0.4673913043478261
src/test/run-pass/use-uninit-alt2.rs	6	6	12	0.4745762711864407
src/test/run-pass/issue-37109.rs	2	6	8	0.42857142857142855
src/test/compile-fail/alt-range-fail-dominate.rs	4	5	9	0.5294117647058824
doc/guide-runtime.md	4	1	5	0.8936170212765957
src/test/run-pass/extern-crosscrate.rs	15	2	17	0.6964285714285714
src/libbacktrace/ltmain.sh	8	3	11	0.4580152671755725
src/test/compile-fail/variance-region-bounds.rs	5	6	11	0.35294117647058826
src/test/compile-fail/resolve-conflict-item-vs-import.rs	9	4	13	0.5789473684210527
src/libfuzzer/ivec_fuzz.rs	4	3	7	0.625
src/libgreen/basic.rs	11	3	14	0.7333333333333333
src/test/run-pass/lib-map.rs	5	3	8	0.39285714285714285
src/test/compile-fail/syntax-extension-fourcc-non-ascii-str.rs	7	1	8	0.8860759493670886
src/doc/style/features/traits/reuse.md	7	5	12	0.41358024691358025
src/bootstrap/build/job.rs	4	3	7	0.58
src/test/compile-fail/aux/changing-crates-a2.rs	0	1	1	1.0
src/test/run-pass/mod_file.rs	13	3	16	0.43902439024390244
src/librustc_mir/build/expr/category.rs	10	3	13	0.5233160621761658
src/doc/book/compiler-plugins.md	10	4	14	0.44308943089430897
src/test/auxiliary/issue-10028.rs	5	4	9	0.3942307692307692
src/libstd/rt/io/flate.rs	11	1	12	0.8157894736842105
src/cargo/sources.json	0	8	8	0.2631578947368421
